Date,Open,High,Low,Close,Adj Close,Volume
2020-10-08,170.100006,170.399994,166.899994,167.149994,146.296295,25502126
2020-10-09,167.500000,168.899994,166.350006,167.850006,146.908997,22373277
2020-10-12,170.500000,175.199997,170.000000,172.199997,150.716278,66250422
2020-10-13,172.850006,174.850006,169.500000,170.149994,148.922043,35684395
2020-10-14,170.550003,171.000000,167.050003,167.800003,146.865234,38216229
2020-10-15,167.699997,167.800003,164.550003,165.050003,144.458298,27116799
2020-10-16,165.500000,166.800003,163.800003,165.699997,145.027206,20227056
2020-10-19,166.800003,168.899994,166.149994,168.250000,147.259094,19016521
2020-10-20,168.000000,168.300003,166.699997,167.449997,146.558884,16148741
2020-10-21,168.149994,168.899994,166.600006,167.649994,146.733932,16478833
2020-10-22,167.550003,169.100006,167.000000,168.550003,147.521652,22044107
2020-10-23,168.949997,171.000000,167.750000,170.750000,149.447189,20145584
2020-10-26,171.500000,171.600006,168.250000,168.550003,147.521652,16080575
2020-10-27,168.500000,169.300003,166.750000,167.199997,146.340073,45885092
2020-10-28,168.500000,168.500000,165.000000,165.500000,144.852188,16820774
2020-10-29,165.000000,165.949997,163.449997,163.850006,143.408020,21007139
2020-10-30,164.000000,166.800003,163.350006,165.250000,144.633347,16347325
2020-11-02,166.800003,167.199997,164.449997,166.750000,145.946213,14370649
2020-11-03,167.199997,170.750000,167.100006,170.100006,148.878296,22602903
2020-11-04,170.050003,171.800003,168.199997,169.800003,148.615692,18808819
2020-11-05,171.250000,175.000000,170.199997,174.750000,152.948151,26997641
2020-11-06,176.500000,177.199997,173.399994,173.949997,152.247940,34252005
2020-11-09,173.949997,177.300003,171.850006,172.800003,151.241425,35286484
2020-11-10,175.000000,179.550003,171.850006,178.350006,156.098999,57459436
2020-11-11,179.600006,185.899994,178.600006,185.300003,162.181915,63318644
2020-11-12,185.199997,188.750000,183.850006,188.000000,164.545074,46367792
2020-11-13,187.199997,188.800003,185.550003,187.100006,163.757339,28198725
2020-11-14,189.050003,190.000000,188.050003,188.600006,165.070221,7767144
2020-11-17,189.000000,189.399994,186.399994,187.350006,163.976151,20950589
2020-11-18,186.800003,188.449997,182.750000,184.050003,161.087875,26595992
2020-11-19,182.800003,191.800003,182.699997,187.899994,164.457535,48984610
2020-11-20,188.800003,192.000000,186.050003,191.699997,167.783432,45307312
2020-11-23,192.000000,192.500000,188.649994,190.850006,167.039505,23180456
2020-11-24,190.600006,196.449997,190.600006,195.550003,171.153122,45411815
2020-11-25,196.000000,197.949997,192.500000,193.850006,169.665222,41659179
2020-11-26,195.100006,195.850006,192.550003,194.800003,170.496719,24222956
2020-11-27,194.449997,195.750000,193.199997,193.649994,169.490158,31385396
2020-12-01,195.000000,196.350006,192.399994,194.399994,170.146576,15893346
2020-12-02,195.000000,198.750000,193.550003,195.949997,171.503204,28425948
2020-12-03,197.199997,197.199997,194.550003,196.199997,171.722015,28009042
2020-12-04,196.850006,199.350006,196.500000,198.199997,173.472504,22152332
2020-12-07,198.199997,203.750000,197.600006,203.149994,177.804932,35693450
2020-12-08,203.899994,204.699997,199.550003,202.449997,177.192276,30853963
2020-12-09,205.000000,207.800003,204.649994,205.399994,179.774216,39684395
2020-12-10,206.649994,213.649994,203.149994,212.699997,186.163467,65227495
2020-12-11,214.449997,217.949997,213.350006,216.300003,189.314362,60322445
2020-12-14,217.949997,218.600006,215.000000,215.899994,188.964249,26990063
2020-12-15,215.250000,216.399994,211.600006,213.550003,186.907440,23255609
2020-12-16,213.750000,215.550003,213.500000,214.000000,187.301300,19551630
2020-12-17,214.199997,215.100006,211.250000,213.050003,186.469833,22386185
2020-12-18,213.100006,215.949997,209.750000,214.500000,187.738907,23775053
2020-12-21,214.500000,214.699997,199.149994,202.949997,177.629868,41834797
2020-12-22,203.100006,206.250000,196.899994,203.399994,178.023743,40986353
2020-12-23,203.000000,208.250000,202.000000,207.750000,181.831055,23695667
2020-12-24,210.000000,210.649994,205.600006,208.600006,182.575012,22768284
2020-12-28,209.000000,210.199997,207.850006,209.500000,183.362717,15741000
2020-12-29,210.500000,213.500000,210.100006,211.550003,185.156967,26546469
2020-12-30,212.699997,213.500000,209.550003,211.149994,184.806870,18925262
2020-12-31,210.550003,211.300003,208.550003,209.000000,182.925110,18245270
2021-01-01,209.899994,214.199997,209.300003,213.850006,187.170013,19527333
2021-01-04,214.000000,216.000000,212.100006,213.399994,186.776138,26891799
2021-01-05,212.449997,213.250000,210.600006,211.449997,185.069427,18024083
2021-01-06,211.449997,211.500000,204.500000,205.399994,179.774216,49067837
2021-01-07,206.100006,207.600006,202.100006,202.800003,177.498596,34952401
2021-01-08,204.350006,206.000000,200.250000,201.500000,176.360809,56427360
2021-01-11,204.000000,206.100006,201.250000,202.500000,177.236053,42970983
2021-01-12,203.000000,206.899994,201.600006,206.449997,180.693222,35617404
2021-01-13,207.449997,213.000000,205.250000,211.250000,184.894379,63925996
2021-01-14,212.000000,216.500000,211.600006,214.149994,187.432556,48304263
2021-01-15,214.899994,218.500000,211.199997,217.850006,190.670975,58321158
2021-01-18,218.399994,222.000000,214.600006,219.750000,192.333939,67607822
2021-01-19,221.000000,221.699997,217.500000,218.850006,191.546204,31785089
2021-01-20,218.500000,219.000000,215.699997,217.649994,190.495926,44672447
2021-01-21,219.000000,219.500000,212.199997,213.699997,187.038712,28999164
2021-01-22,214.000000,214.750000,209.149994,210.699997,184.412994,24712182
2021-01-25,212.000000,212.500000,206.850006,207.800003,181.874817,24967899
2021-01-27,208.000000,212.649994,207.100006,210.649994,184.369247,48471357
